2026-04-21T21:15:02.036Z [INFO ] Logger started — level=info, dir=/Users/yuna/projects/meal-nutrition-app-v3/data/logs
2026-04-21T22:23:18.724Z [INFO ] GET /thumbs/1775030430615_p8kekrmwd1.png 200 7ms pid=-
2026-04-21T22:23:18.731Z [INFO ] GET /thumbs/1774766018659_4mc2cotmzf9.png 200 18ms pid=-
2026-04-21T22:23:18.735Z [INFO ] GET /thumbs/1775030473741_1s1b9geqi9v.png 200 20ms pid=-
2026-04-21T22:23:18.744Z [INFO ] GET /thumbs/1775029606943_81plvekryt5.png 200 18ms pid=-
2026-04-21T22:23:18.748Z [INFO ] GET /thumbs/1775030976423_x44bmgnclhc.png 200 10ms pid=-
2026-04-21T22:23:18.749Z [INFO ] GET /thumbs/1774896666026_ap9q5kph3r.jpg 200 30ms pid=-
2026-04-21T22:23:18.750Z [INFO ] GET /thumbs/1775030559255_ou1z2s5ijk9.png 200 16ms pid=-
2026-04-21T22:23:18.751Z [INFO ] GET /thumbs/1775029731106_yg0vz2ytrv.png 200 16ms pid=-
2026-04-21T22:23:18.751Z [INFO ] GET /thumbs/1774849962804_rnuubufm5cg.png 200 37ms pid=-
2026-04-21T22:23:18.754Z [INFO ] GET /thumbs/1775029501265_z6vyywsnyc7.png 200 6ms pid=-
2026-04-21T22:23:18.754Z [INFO ] GET /thumbs/1775029537802_7c4tfpt1o93.png 200 1ms pid=-
2026-04-21T22:23:18.761Z [INFO ] GET /thumbs/1775063960631_jdt18ekn2ke.png 200 2ms pid=-
2026-04-21T22:23:18.761Z [INFO ] GET /thumbs/1775063697194_9n5g9kbzqis.png 200 2ms pid=-
2026-04-21T22:23:18.774Z [INFO ] GET /thumbs/1775029390274_grp8cki7ti.png 200 21ms pid=-
2026-04-21T22:23:18.778Z [INFO ] GET /thumbs/1775182176733_wjqc2uion1o.png 200 6ms pid=-
2026-04-21T22:23:18.779Z [INFO ] GET /thumbs/1775181604590_shlgb65dtf.png 200 17ms pid=-
2026-04-21T22:23:18.779Z [INFO ] GET /thumbs/1775181463015_jti35ij5p1j.png 200 9ms pid=-
2026-04-21T22:23:18.788Z [INFO ] GET /thumbs/1775065182132_3d7tcv41zcf.png 200 26ms pid=-
2026-04-21T22:23:18.791Z [INFO ] GET /thumbs/1775279702451_hns4emr51fg.jpg 200 8ms pid=-
2026-04-21T22:23:18.799Z [INFO ] GET /thumbs/1775541537606_1m9hdtf9ueo.jpg 200 8ms pid=-
2026-04-21T22:23:18.800Z [INFO ] GET /thumbs/1775250054440_wha8qksb3f.jpg 200 28ms pid=-
2026-04-21T22:23:18.800Z [INFO ] GET /thumbs/1775979451056_tqc1cpke4st.png 200 18ms pid=-
2026-04-21T22:23:18.801Z [INFO ] GET /thumbs/1775541744234_bt1zmv9tdo4.jpg 200 6ms pid=-
2026-04-21T22:23:18.801Z [INFO ] GET /thumbs/1775282309383_3i1bqfrhz87.jpg 200 16ms pid=-
2026-04-21T22:23:18.830Z [INFO ] GET /thumbs/1775543177278_tgimw90hapg.jpg 200 20ms pid=-
2026-04-21T22:23:18.830Z [INFO ] GET /thumbs/1775544005744_f2e77rudep.jpg 200 18ms pid=-
2026-04-21T22:23:18.832Z [INFO ] GET /thumbs/1775288006284_4256zykstj3.jpg 200 47ms pid=-
2026-04-21T22:23:18.833Z [INFO ] GET /thumbs/1776671652810_d7lpwfyk3cc.png 200 31ms pid=-
2026-04-21T22:23:18.862Z [INFO ] GET /thumbs/1775545328136_dqnq88wwysl.jpg 200 4ms pid=-
2026-04-21T22:23:19.029Z [INFO ] GET /thumbs/1775979728420_y12io2ej1c.png 200 171ms pid=-
2026-04-21T22:23:19.059Z [INFO ] GET /thumbs/1775629907219_5cjx6uonkwx.jpg 200 35ms pid=-
2026-04-21T22:23:19.071Z [INFO ] GET /thumbs/1776671968358_hgwfvpqiyph.png 200 38ms pid=-
2026-04-21T22:23:19.073Z [INFO ] GET /thumbs/1775545990846_cklvch6g91o.jpg 200 133ms pid=-
2026-04-21T22:23:19.074Z [INFO ] GET /thumbs/1775979589517_glunf2akmr7.png 200 143ms pid=-
2026-04-21T22:23:19.097Z [INFO ] GET /thumbs/1775545947250_xzlnrpak8l.jpg 200 158ms pid=-
2026-04-21T22:23:19.161Z [INFO ] GET /thumbs/1775548139564_6gwl0j9a587.jpg 200 168ms pid=-
2026-04-21T22:23:19.165Z [INFO ] GET /thumbs/1775803398625_5zbbz1jzrfv.jpg 200 51ms pid=-
2026-04-21T22:23:19.167Z [INFO ] GET /thumbs/1775803295661_wfwqd2eeb.jpg 200 53ms pid=-
2026-04-21T22:23:19.182Z [INFO ] GET /thumbs/1775631924740_z2py02qwc9q.jpg 200 69ms pid=-
